type,year,authors,title,venue
revues,2011,"Desclés Julien, Alrahabi Motasem, Desclés Jean-Pierre",BioExcom: Detection and Categorization of Speculative Sentences in Biomedical Literature,"Human Language Technology. Challenges for Computer Science and Linguistics, Lecture Notes in Computer Science, Volume 6562/2011, DOI: 10.1007/978-3-642-20095-3_44, 478-489 [ ]"
revues,2011,"Lambert Mathias, Laublet Philippe",Using ontologies to improve the detection and categorization of evaluative segments in texts: the case of corporate reputation,"Tal et formes nouvelles d'expression de la connaissance sur le web, BULAG n°35, ( MADEC H.&amp; SHAFEI B.(eds.)), PUFC, Besançon, 2010"
revues,2010,"Passant Alexandre, Isaac Antoine, Laublet Philippe",Combining Linked Data and Knowledge Engineering Best Practices to Design a Lightweight Role,"Special issue on Beautiful Ontology of Applied Ontology, à paraître"
revues,2010,"Passant Alexandre, Laublet Philippe",User-driven Generation of Semantic Web Content in Enterprise 2.0: A case-study,"International Journal of Knowledge Engineering and Data Mining (IJKEDM), Special Issue on: “Incentives for Semantic Content Creation”"
revues,2010,"Provôt Agnès, Desclés Jean-Pierre, Vinzerich Aude",Invariant sémantique du présent de l’indicatif en français,"Cahiers Chronos, vol. 21, 235-259 [ ] 2009"
revues,2009,"Alrahabi Motasem, Desclés Jean-Pierre","Opérations de prise en charge énonciative : assertion, médiatif et modalités dans le discours rapporté direct, en arabe et en français","Methods of lexical analysis, theoretical assumptions and practical applications, Bogacki, K., Cholewa, J., Rozumko, A. eds., Bialystok: Wydawnictwo Uniwersytetu w Bialymstoku, [ ]"
revues,2009,Elkhlifi Aymen et Faiz Rim,Automatic Annotation Approach of Events,"News Articles. International Journal of Computing &amp; Information Sciences (IJCIS), à paraitre"
revues,2009,Freund Michael,On the notion of concept II,"Artificial Intelligence, à paraître"
revues,2009,Gwiazdecka Ewa,Quelle description pour le préverbe polonais ?,"Cognitive Studies/ Études Cognitives 9, SOW Publishing House, Warsaw, 243-255 [ ]"
revues,2009,"Passant Alexandre, Laublet Philippe, Breslin John G., Decker Stefan",An URI is worth a thousand tags: From tagging to Linked Data with MOAT,"International Journal of Semantic Web and Information Systems (JSWIS), 5(3), 71-94"
revues,2009,Provôt Agnès,"Le ""futur dans le passé"" en français et en allemand : concurrence des formes wird, werde et würde en allemand et comparaison avec le conditionnel français","Revue de Sémantique et Pragmatique, n° 25, 205-222 [ ] 2008"
revues,2008,Boudon Pierre,"hip as a Space Locus, Architecture as a Space Fabrica","Semiotica, à paraître, Bloomington"
revues,2008,Desclés Jean-Pierre,De la définition chez Pascal aux définitions en Logique Combinatoire,"Travaux de logique, N°19, à paraître, Université de Neufchâtel, 73-113"
revues,2008,"Desclés Jean-Pierre, Djioua Brahim",La recherche d'informations par accès aux contenus sémantiques : vers une nouvelle classe de Systèmes de Recherches d'Informations...,"Linguistique Informatique, Revue roumaine de linguistique, vol LII, n°1-2, 5-54 [ ]"
revues,2008,Freund Michael,On the notion of concept I,"Artificial Intelligence, n° 172, 570-590 [ ]"
revues,2008,Guibert Gaell,La chaine prédicative,"Semiotica, à paraître"
revues,2008,Pognan Patrice,De la théorie à l’application. Vallex: une démarche exemplaire,"The Prague Bulletin of Mathematical Linguistics n° 89, Prague (République tchèque), 2007"
revues,2007,"Desclés Jean-Pierre, Guencheva Zlatka",Aspectual Meaning of Verbal Complex Predicates with prefix DO - in Bulgarian,"Southern Journal of Linguistics, 29, 17-35"
revues,2007,"Desclés Jean-Pierre, Pascu Anca",Logique de la Détermination d'Objets (LDO): une logique pour l'analyse des langues naturelles,"Revue Roumaine de Linguistique / Romanian Revue of Linguistics, tome LII, N° 1-2, 55-96"
revues,2007,Guibert Gaell,Application d'une hypothèse de linguistique textuelle: le génotexte,
revues,2007,Jackiewicz Agata,L’énonciation textuelle pour le traitement automatique des langues as des discours rapportés,"Discours et document : traitements automatiques, Revue TAL, Vol. 47, N° 1, 2006"
revues,2006,"Battistelli Delphine, Chagnoux Marie, Desclés Jean-Pierre",Référentiels et ordonnancements temporels dans les textes,"Information temporelle, procédures et ordre discursif. Cahiers Chronos, vol. 18, Rodopi, Amsterdam, 24 pages"
revues,2006,"Battistelli Delphine, Minel Jean-Luc, Schwer Sylviane",Représentation des expressions calendaires dans les textes : vers une application à la lecture assistée de biographies,"TAL, Vol. 47/2, 11-37"
revues,2006,"Biskri Ismaïl, Desclés Jean-Pierre",Coordination de catégories différentes en français,"Faits de Langues, Ophrys, 57-66"
revues,2006,"Biskri Ismaïl, Desclés Jean-Pierre, Boucif Amar Bensaber",Coordination and Applicative Categorial Type Logic,"Artificial Intelligence Tools, Architectures, Languages, Algorithms, Vol 15, N°6, 1007-1019"
revues,2006,"Desclés Jean-Pierre, Kye-Seop Cheong,",Analyse critique de la notion de variable : points de vue sémiotique et formel 2,"Mathématiques et sciences humaines, 69-99"
